team,rpi,year
West Virginia,0.5065,1996
Wyoming,0.5063,1996
Valparaiso,0.5062,1996
UNC Greensboro,0.5062,1996
Long Beach,0.5057,1996
Bowling Green,0.5046,1996
Rutgers,0.5042,1996
UNC Wilmington,0.5036,1996
Colorado,0.5032,1996
Drake,0.5032,1996
Towson,0.5028,1996
Pittsburgh,0.5028,1996
Xavier,0.5028,1996
San Diego,0.5027,1996
St. Mary's,0.4999,1996
Oral Roberts,0.4998,1996
Nevada,0.4994,1996
Marshall,0.4988,1996
Old Dominion,0.4984,1996
Mississippi,0.4983,1996
Hawaii,0.4974,1996
Dartmouth,0.4972,1996
Notre Dame,0.4971,1996
Ohio State,0.4971,1996
Miss Valley St,0.497,1996
Arizona St,0.4969,1996
South Florida,0.4966,1996
Boise St,0.4966,1996
St. Bonaventure,0.4958,1996
LA-Monroe,0.4955,1996
Jacksonville,0.4954,1996
Loyola-Maryland,0.4941,1996
Coppin St,0.4928,1996
St. Francis-PA,0.4917,1996
Creighton,0.4904,1996
South Carolina St,0.4899,1996
Colgate,0.4891,1996
Tennessee St,0.4889,1996
Delaware,0.4889,1996
Jackson St,0.4885,1996
VMI,0.4881,1996
Utah St,0.4875,1996
Pacific,0.4862,1996
San Diego St,0.4862,1996
East Carolina,0.4853,1996
Campbell,0.4852,1996
Kent,0.4845,1996
Texas A&M,0.4841,1996
Samford,0.4841,1996
Western Ill,0.4838,1996
Dayton,0.4833,1996
Liberty,0.4819,1996
Illinois-Chi,0.48,1996
Stephen F. Austin,0.4798,1996
Maine,0.4773,1996
Middle Tenn St,0.4767,1996
San Jose St,0.4767,1996
Charleston So,0.4761,1996
Harvard,0.4759,1996
UTEP,0.4745,1996
Niagara,0.4742,1996
Western Car,0.4727,1996
McNeese St,0.4726,1996
La Salle,0.4724,1996
TX-San Antonio,0.4714,1996
North Texas,0.4708,1996
American,0.4706,1996
UC Irvine,0.4698,1996
Pepperdine,0.4692,1996
Southern Ill,0.468,1996
Oregon St,0.4677,1996
SE Louisiana,0.4672,1996
Southern U,0.467,1996
UNC Asheville,0.4664,1996
SMU,0.4661,1996
James Madison,0.4649,1996
Wis-Milwaukee,0.4647,1996
Bucknell,0.4642,1996
Idaho,0.464,1996
Duquesne,0.4636,1996
Lamar,0.4627,1996
Chattanooga,0.4613,1996
New Mexico St,0.4607,1996
Mercer,0.4606,1996
Buffalo,0.4583,1996
Eastern Ill,0.4578,1996
Baylor,0.4578,1996
Vermont,0.4577,1996
Southern Utah,0.457,1996
South Alabama,0.4553,1996
Eastern Ky,0.4551,1996
Tennessee Tech,0.4545,1996
Indiana St,0.4545,1996
Missouri-KC,0.4542,1996
Central Conn,0.4535,1996
UNLV,0.4528,1996
Wichita St,0.4522,1996
Tenn-Martin,0.4514,1996
UC Santa Barbara,0.4503,1996
Northwestern,0.4489,1996
Brown,0.4483,1996
Central Florida,0.4476,1996
Wagner,0.4468,1996
NE Illinois,0.4462,1996
Richmond,0.446,1996
Sam Houston,0.4455,1996
Hampton,0.4455,1996
La Tech,0.4454,1996
Arkansas St,0.4446,1996
TX-Pan American,0.4422,1996
Florida Intl,0.4422,1996
Radford,0.4416,1996
William & Mary,0.4408,1996
Cornell,0.4399,1996
Idaho St,0.4367,1996
Loyola-Chicago,0.4365,1996
Holy Cross,0.4355,1996
Siena,0.4354,1996
TX-Arlington,0.4328,1996
Georgia St,0.4318,1996
Stetson,0.4314,1996
Navy,0.4311,1996
Centenary,0.4311,1996
SW Texas St,0.4301,1996
Fullerton St,0.4294,1996
Jacksonville St,0.4288,1996
Cal Poly,0.4278,1996
Texas Southern,0.4271,1996
Furman,0.4269,1996
Fairleigh Dickinson,0.4266,1996
SE Missouri St,0.426,1996
Appalachian St,0.4249,1996
George Mason,0.4249,1996
Long Island,0.4206,1996
Central Mich,0.4201,1996
Fordham,0.4195,1996
Florida Atl,0.4179,1996
Youngstown St,0.4178,1996
Hartford,0.4162,1996
Alcorn St,0.4162,1996
North Carolina A&T,0.4159,1996
Grambling,0.4127,1996
Troy St,0.4126,1996
East Tenn St,0.4124,1996
Cleveland St,0.4115,1996
Air Force,0.4113,1996
CS-Northridge,0.4107,1996
The Citadel,0.4068,1996
Nicholls St,0.4067,1996
Lafayette,0.4064,1996
New Hampshire,0.406,1996
Morgan St,0.4054,1996
Columbia,0.4036,1996
Sacramento St,0.4033,1996
Delaware St,0.4029,1996
Yale,0.4019,1996
St. Francis-NY,0.401,1996
Winthrop,0.4007,1996
Morehead St,0.4006,1996
Hofstra,0.4004,1996
Akron,0.3966,1996
MD-East Shore,0.3964,1996
Northeastern,0.396,1996
Howard,0.392,1996
Bethune-Cookman,0.3918,1996
MD-Baltimore Co,0.389,1996
Northern Ariz,0.3875,1996
Wofford,0.3836,1996
Alabama St,0.3812,1996
Robert Morris,0.3798,1996
Northwestern St,0.3765,1996
Chicago St,0.3712,1996
Eastern Wash,0.3688,1996
Coastal Carolina,0.3687,1996
Florida A&M,0.364,1996
Lehigh,0.3614,1996
Prairie View A&M,0.3446,1996
Army,0.3414,1996
Georgia So,0.3382,1996
Kansas,0.6742,1997
Kentucky,0.6572,1997
North Carolina,0.6569,1997
Minnesota,0.6522,1997
Utah,0.638,1997
Wake Forest,0.6344,1997
Duke,0.6271,1997
Villanova,0.623,1997
South Carolina,0.6202,1997
UCLA,0.6164,1997
Clemson,0.6159,1997
St. Joseph's,0.6124,1997
Cincinnati,0.6111,1997
New Mexico,0.6089,1997
Tulsa,0.6017,1997
Indiana,0.6014,1997
Arizona,0.5993,1997
Louisville,0.5978,1997
Georgia,0.5965,1997
Maryland,0.5963,1997
California,0.5963,1997
Purdue,0.5946,1997
Rhode Island,0.5939,1997
Illinois,0.5934,1997
Virginia,0.5932,1997
Wisconsin,0.5919,1997
UNC Charlotte,0.5917,1997
Xavier,0.5907,1997
Texas Tech,0.5894,1997
Stanford,0.5886,1997
Boston U,0.5871,1997
Princeton,0.5855,1997
Boston College,0.5853,1997
Vanderbilt,0.5847,1997
Illinois St,0.5842,1997
Iowa State,0.5829,1997
Iowa,0.5826,1997
Temple,0.5818,1997
Texas,0.5807,1997
Michigan,0.5805,1997
TCU,0.5798,1997
SW Missouri St,0.5797,1997
Colorado,0.5785,1997
Mississippi,0.5785,1997
UMass,0.5785,1997
Providence,0.5771,1997
Oklahoma,0.5752,1997
Oklahoma St,0.5748,1997
West Virginia,0.5724,1997
Hawaii,0.5721,1997
Marquette,0.5712,1997
Southern Cal,0.5692,1997
Coll of Charleston,0.5686,1997
Florida St,0.5675,1997
Nebraska,0.567,1997
Oral Roberts,0.5665,1997
Georgetown,0.5655,1997
UNLV,0.5639,1997
Tulane,0.5637,1997
Syracuse,0.5624,1997
Fresno St,0.5609,1997
North Carolina St,0.5605,1997
Oregon,0.5605,1997
Drexel,0.5603,1997
Valparaiso,0.5593,1997
Arkansas,0.5577,1997
Miami-Ohio,0.5566,1997
Pittsburgh,0.5562,1997
Colorado St,0.5561,1997
New Orleans,0.5554,1997
Bowling Green,0.5549,1997
Memphis,0.5546,1997
Michigan St,0.5539,1997
Eastern Mich,0.5509,1997
George Wash,0.5505,1997
Nevada,0.55,1997
Pacific,0.5487,1997
Notre Dame,0.5477,1997
South Alabama,0.5473,1997
Missouri,0.5472,1997
Long Island,0.5471,1997
Northern Iowa,0.5465,1997
Washington,0.5462,1997
New Mexico St,0.546,1997
UConn,0.5441,1997
Alabama,0.5435,1997
