team2,year,team1,round,seed1,score1,seed2,score2,score_diff,seed_diff,team1_sos,team1_osrs,team1_dsrs,team1_srs,team2_sos,team2_osrs,team2_dsrs,team2_srs
Arizona,2017,St. Mary's (Cal.),Second Round,7,60,2,69,-9,5,2.19,1.09,15.66,16.75,7.63,7.47,10.79,18.25
Wisconsin,2017,Villanova,Second Round,1,62,8,65,-3,-7,9.28,9.2,14.61,23.8,9.4,3.85,15.56,19.4
Duke,2017,South Carolina,Second Round,7,88,2,81,7,5,10.16,5.2,12.32,17.52,10.91,13.15,8.41,21.56
Florida State,2017,Xavier,Second Round,11,91,3,66,25,8,11.51,7.6,7.2,14.8,8.87,13.22,5.65,18.87
UCLA,2017,Cincinnati,Second Round,6,67,3,79,-12,3,5.49,4.5,13.94,18.43,6.39,20.52,0.15,20.67
Butler,2017,Middle Tennessee State,Second Round,12,65,4,74,-9,8,-0.48,0.5,9.3,9.8,10.23,8.45,9.25,17.7
Baylor,2017,Southern California,Second Round,11,78,3,82,-4,8,6.4,8.07,3.41,11.48,11.87,4.89,14.86,19.75
Oregon,2017,Rhode Island,Second Round,11,72,3,75,-3,8,4.62,3.78,9.1,12.88,8.38,9.52,11.29,20.8
Bucknell,2017,West Virginia,First Round,4,86,13,80,6,-9,9.67,14.63,9.83,24.45,-2.48,4.04,1.85,5.89
Xavier,2017,Maryland,First Round,6,65,11,76,-11,-5,8.29,5.84,6.95,12.79,11.51,7.6,7.2,14.8
Princeton,2017,Notre Dame,First Round,5,60,12,58,2,-7,9.78,10.0,7.81,17.81,-1.84,-3.08,9.65,6.57
Seton Hall,2017,Arkansas,First Round,8,77,9,71,6,-1,8.6,10.56,3.48,14.04,9.25,4.83,7.28,12.1
Oklahoma State,2017,Michigan,First Round,7,92,10,91,1,-3,10.17,7.68,11.13,18.8,12.22,19.23,-0.04,19.19
UNC Wilmington,2017,Virginia,First Round,5,76,12,71,5,-7,10.93,-1.49,22.12,20.63,-0.55,10.95,-2.89,8.06
Northern Kentucky,2017,Kentucky,First Round,2,79,15,70,9,-13,10.49,16.92,6.96,23.88,-2.84,-0.49,0.32,-0.17
Texas Southern,2017,North Carolina,First Round,1,103,16,64,39,-15,11.76,16.92,7.91,24.84,-7.81,-1.82,-4.6,-6.41
Kent State,2017,UCLA,First Round,3,97,14,80,17,-11,6.39,20.52,0.15,20.67,-1.63,1.29,-0.4,0.88
Nevada,2017,Iowa State,First Round,5,84,12,73,11,-7,11.94,12.54,7.97,20.51,2.03,8.93,1.56,10.49
Florida Gulf Coast,2017,Florida State,First Round,3,86,14,80,6,-11,8.87,13.22,5.65,18.87,-3.42,0.31,1.95,2.26
South Dakota State,2017,Gonzaga,First Round,1,66,16,46,20,-15,4.13,12.79,12.47,25.26,-0.66,1.91,-4.2,-2.3
North Dakota,2017,Arizona,First Round,2,100,15,82,18,-13,7.63,7.47,10.79,18.25,-5.45,2.19,-4.02,-1.83
Troy,2017,Duke,First Round,2,87,15,65,22,-13,10.91,13.15,8.41,21.56,-3.36,1.96,-2.43,-0.47
UC Davis,2017,Kansas,First Round,1,100,16,62,38,-15,12.23,16.58,6.95,23.53,-4.68,-4.89,-0.32,-5.21
Rhode Island,2017,Creighton,First Round,6,72,11,84,-12,-5,8.95,12.76,4.51,17.27,4.62,3.78,9.1,12.88
Michigan State,2017,Miami (Fla.),First Round,8,58,9,78,-20,-1,9.57,0.43,14.05,14.48,10.5,4.2,9.47,13.67
Virginia Commonwealth,2017,St. Mary's (Cal.),First Round,7,85,10,77,8,-3,2.19,1.09,15.66,16.75,3.77,5.67,5.9,11.57
Mount St. Mary's,2017,Villanova,First Round,1,76,16,56,20,-15,9.28,9.2,14.61,23.8,-3.51,-6.3,2.02,-4.29
New Mexico State,2017,Baylor,First Round,3,91,14,73,18,-11,11.87,4.89,14.86,19.75,-3.82,2.84,1.83,4.66
Marquette,2017,South Carolina,First Round,7,93,10,73,20,-3,10.16,5.2,12.32,17.52,8.6,14.48,0.78,15.26
Jacksonville State,2017,Louisville,First Round,2,78,15,63,15,-13,11.15,10.35,12.13,22.47,-3.24,-5.6,2.75,-2.85
Kansas State,2017,Cincinnati,First Round,6,75,11,61,14,-5,5.49,4.5,13.94,18.43,10.48,4.38,10.42,14.8
Vermont,2017,Purdue,First Round,4,80,13,70,10,-9,8.79,11.54,8.59,20.13,-3.27,-0.77,7.44,6.67
East Tennessee State,2017,Florida,First Round,4,80,13,65,15,-9,11.01,11.36,11.04,22.4,-2.11,4.41,2.91,7.31
Wichita State,2017,Dayton,First Round,7,58,10,64,-6,-3,4.27,5.8,7.18,12.98,2.96,10.67,10.57,21.24
Middle Tennessee State,2017,Minnesota,First Round,5,72,12,81,-9,-7,8.82,7.61,6.95,14.56,-0.48,0.5,9.3,9.8
Iona,2017,Oregon,First Round,3,93,14,77,16,-11,8.38,9.52,11.29,20.8,-2.47,5.95,-4.87,1.08
Vanderbilt,2017,Northwestern,First Round,8,68,9,66,2,-1,8.43,2.9,11.12,14.02,10.72,3.95,9.75,13.69
Virginia Tech,2017,Wisconsin,First Round,8,84,9,74,10,-1,9.4,3.85,15.56,19.4,8.38,10.14,2.63,12.77
Southern California,2017,Southern Methodist,First Round,6,65,11,66,-1,-5,4.45,5.83,12.88,18.71,6.4,8.07,3.41,11.48
Winthrop,2017,Butler,First Round,4,76,13,64,12,-9,10.23,8.45,9.25,17.7,-6.12,4.5,-3.16,1.34
