2014-2015 RPI,,,,,,,,,,,,
,,,,,,,,,,,,
Records reflect games against Division I opponents only.,,,,,,,,,,,,
,,,,,,,,,,,,
Click on team name for schedule and results. Clickable column headings will sort by that column.,,,,,,,,,,,,
,,,,,,,,,,,,
Shaded teams made the tournament,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,RPI Data,,,,,SOS,,Polls,
Rank,School,W-L,RPI,W,L,Pct,OWP,OOWP,Rank,Rating,AP,USA
144,Utah St,17-13,0.5133,15.8,12.2,0.5643,0.4930 (168),0.5027,161,0.4963,,
145,Montana,18-12,0.5126,16.4,10.4,0.6119,0.4826 (199),0.4734,211,0.4795,,
146,UNC Wilmington,17-13,0.5126,16.2,9.8,0.6231,0.4700 (240),0.4873,224,0.4757,,
147,Marquette,13-19,0.5116,9.8,18.6,0.3451,0.5762 (35),0.549,31,0.5671,,
148,James Madison,19-13,0.5114,17,13.8,0.5519,0.5053 (143),0.483,156,0.4979,,
149,Portland,15-15,0.5114,14.2,14.6,0.4931,0.5191 (114),0.5143,111,0.5175,,
150,Wake Forest,13-19,0.5109,9.4,17.8,0.3456,0.5766 (34),0.5449,33,0.566,,
,,,,,,,,,,,,
,,,,,,,,,,,,
151,Creighton,14-19,0.5096,11.6,18.6,0.3841,0.5544 (71),0.5456,61,0.5514,20,19
152,Hawai'i,20-13,0.5095,16,13,0.5517,0.4940 (163),0.4982,166,0.4954,,
153,Georgia Tech,19-Dec,0.5093,9.6,18.6,0.3404,0.5769 (32),0.5432,35,0.5656,,
154,Radford,18-11,0.5092,17.6,9.4,0.6519,0.4570 (273),0.471,273,0.4617,,
155,Oakland,14-16,0.509,11.6,12.4,0.4833,0.5220 (110),0.5089,110,0.5176,,
156,Eastern Kentucky,17-11,0.5086,16.6,9.4,0.6385,0.4618 (260),0.4723,265,0.4653,,
157,San Diego,14-16,0.5084,12.4,14.4,0.4627,0.5280 (100),0.5151,102,0.5237,,
158,Nebraska,13-18,0.5083,9.4,16,0.3701,0.5612 (57),0.5408,54,0.5544,,
159,NJIT,14-11,0.5083,13.2,8.2,0.6168,0.4672 (244),0.4819,238,0.4721,,
160,Incarnate Word,14-10,0.5075,14,7.6,0.6481,0.4596 (266),0.4627,276,0.4607,,
,,,,RPI Data,,,,,SOS,,Polls,
Rank,School,W-L,RPI,W,L,Pct,OWP,OOWP,Rank,Rating,AP,USA
161,Northwestern St,15-12,0.5071,14.2,10,0.5868,0.4859 (186),0.4698,207,0.4806,,
162,North Florida,20-11,0.5065,20,8.2,0.7092,0.4262 (323),0.4645,323,0.439,,
163,Oral Roberts,16-14,0.5048,14.4,10.8,0.5714,0.4784 (213),0.4909,199,0.4826,,
164,Charleston Southern,16-11,0.5045,14.4,8.6,0.6261,0.4583 (270),0.4754,267,0.464,,
165,Boston College,13-19,0.5045,10.2,19.4,0.3446,0.5611 (58),0.5511,49,0.5578,,
