2018-2019 RPI,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Records reflect games against Division I opponents only.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Click on team name for schedule and results. Clickable column headings will sort by that column.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Last updated Mon Jan 27 2020, 2:12 PM",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,RPI Data,,,,,SOS,,Polls,,,
Rank,School,W-L,RPI,W,L,Pct,OWP,OOWP,Rank,Rating,AP,USA,,
189,Florida Atlantic,14-15,0.4905,14,13.8,0.5036,0.4767 (226),0.5051,201,0.4862,,,,
190,Indiana St,13-16,0.4904,11.8,14.4,0.4504,0.5038 (150),0.5035,146,0.5037,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
191,Rider,16-15,0.4902,14.8,11.8,0.5564,0.4697 (239),0.4652,250,0.4682,,,,
192,UMBC,18-13,0.4901,16.4,11.4,0.5899,0.4506 (276),0.4693,281,0.4568,,,,
193,Georgia,21-Nov,0.4899,8.6,21,0.2905,0.5614 (57),0.5463,54,0.5564,,,,
194,Texas Southern,19-13,0.4868,19.8,9.8,0.6689,0.4075 (341),0.4632,338,0.4261,,,,
195,Iona,17-15,0.4866,16.2,12.6,0.5625,0.4549 (273),0.4742,269,0.4613,,,,
196,Fairleigh Dickinson,18-13,0.4862,16.4,11,0.5985,0.4397 (304),0.4671,303,0.4488,,,,
197,CS Bakersfield,13-15,0.4858,12.6,13,0.4922,0.4786 (220),0.494,211,0.4837,,,,
198,Northwestern,13-19,0.4852,9.4,18.6,0.3357,0.5303 (101),0.5447,88,0.5351,,,,
199,Eastern Washington,15-18,0.4851,13,14.4,0.4745,0.4960 (174),0.474,194,0.4887,,,,
200,Samford,16-16,0.4849,14,14.8,0.4861,0.4790 (217),0.4957,209,0.4845,,,,
,,,,RPI Data,,,,,SOS,,Polls,,,
Rank,School,W-L,RPI,W,L,Pct,OWP,OOWP,Rank,Rating,AP,USA,,
201,New Mexico,13-18,0.4848,10.6,17.2,0.3813,0.5312 (99),0.4956,109,0.5193,,,,
202,Delaware,15-16,0.4844,15,15.6,0.4902,0.4785 (221),0.4906,215,0.4825,,,,
203,Cal Baptist,14-Dec,0.4841,13.6,14,0.4928,0.4822 (211),0.4792,221,0.4812,,,,
