2002-2003 RPI,,,,,,,,,
,,,,,,,,,
RPI calculations are based on games against Division I opponents only.,,,,,,,,,
,,,,,,,,,
Click on team name for schedule and results.,,,,,,,,,
,,,,,,,,,
"Last updated Sun Mar 16 2003, 4:28 PM",,,,,,,,,
,,,,,,,,,
Shaded teams made the tournament,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,SOS,,Polls,
Rank,School,W-L,RPI,OWP,OOWP,Rank,Rating,AP,USA
224,Arkansas St,15-Nov,0.4638,0.4698,0.4926,215,0.4774,,
225,Furman,17-Nov,0.463,0.4891,0.4809,180,0.4864,,
226,Northeastern,14-15,0.463,0.4433,0.4824,268,0.4564,,
227,Lehigh,14-12,0.4626,0.4236,0.465,306,0.4374,,
228,Tenn-Martin,14-Oct,0.4626,0.4744,0.485,213,0.4779,,
229,Loyola-Marymount,19-Nov,0.4625,0.4935,0.4962,159,0.4944,,
230,Jacksonville,16-Dec,0.4623,0.4758,0.4689,229,0.4735,,
,,,,,,,,,
,,,,,,,,,
231,St. Peter's,19-Oct,0.4615,0.507,0.487,147,0.5003,,
232,Washington St,20-Jul,0.4612,0.5262,0.5331,85,0.5285,,
233,Wofford,15-Oct,0.461,0.4739,0.4962,202,0.4814,,
234,Wis-Green Bay,19-Sep,0.4607,0.5134,0.4944,132,0.5071,,
235,James Madison,17-Dec,0.4606,0.4713,0.486,220,0.4762,,
236,Bucknell,13-15,0.4604,0.4519,0.4734,258,0.4591,,
237,Wright St,18-Sep,0.4589,0.5023,0.4976,144,0.5007,,
238,St. Francis-NY,14-16,0.4585,0.4542,0.4589,270,0.4557,,
239,Miss Valley St,14-13,0.4583,0.4364,0.4419,305,0.4383,,
240,Montana St,16-Sep,0.4566,0.493,0.4803,171,0.4888,,
,,,,,,,,,
,,,,,,,,,
241,Portland,17-Oct,0.4566,0.4748,0.5064,182,0.4853,,
242,Lamar,14-Dec,0.4565,0.4498,0.4647,275,0.4548,,
243,Duquesne,21-Sep,0.4558,0.5065,0.5101,130,0.5077,,
244,Elon,15-Oct,0.4555,0.4784,0.4653,227,0.474,,
245,Northern Iowa,17-Oct,0.4555,0.4693,0.5129,187,0.4839,,
246,Coppin St,17-Nov,0.4554,0.483,0.4629,219,0.4763,,
247,Canisius,18-Oct,0.4544,0.4842,0.4921,177,0.4868,,
248,Alabama St,13-15,0.4537,0.4536,0.4435,284,0.4502,,
249,Fairleigh Dickinson,15-14,0.4528,0.4156,0.4628,313,0.4314,,
250,Colgate,14-Dec,0.4524,0.4404,0.4672,287,0.4493,,
,,,,,,,,,
,,,,,,,,,
251,Idaho,15-Dec,0.4521,0.441,0.4819,276,0.4547,,
252,SE Louisiana,16-Sep,0.4509,0.4829,0.478,203,0.4813,,
253,Sacramento St,17-Nov,0.4506,0.4637,0.4823,237,0.4699,,
254,TX-San Antonio,17-Sep,0.4485,0.4838,0.4804,192,0.4826,,
255,Hofstra,21-Aug,0.4483,0.5188,0.4796,136,0.5057,,
256,North Texas,21-May,0.4479,0.5497,0.5002,79,0.5332,,
257,Coastal Carolina,15-Nov,0.4476,0.4534,0.4604,271,0.4557,,
258,Liberty,14-15,0.4456,0.418,0.4636,311,0.4332,,
259,Lafayette,16-Nov,0.4452,0.452,0.4693,261,0.4577,,
260,Indiana St,24-Jul,0.4447,0.5246,0.5037,108,0.5176,,
,,,,,,,,,
,,,,,,,,,
261,Howard,13-17,0.4445,0.4519,0.4409,289,0.4482,,
262,Drake,20-Aug,0.4437,0.4918,0.5055,155,0.4963,,
263,TAMU-CC,15-Nov,0.4436,0.4441,0.4632,283,0.4505,,
264,Alcorn St,14-19,0.4433,0.4496,0.4498,286,0.4496,,
265,William & Mary,16-Dec,0.4423,0.4285,0.4835,295,0.4468,,
266,UL-Monroe,16-Nov,0.441,0.4414,0.4738,281,0.4522,,
267,Stony Brook,15-Nov,0.4391,0.4281,0.477,300,0.4444,,
268,Cleveland St,22-Aug,0.4388,0.4947,0.4993,156,0.4962,,
269,SE Missouri St,19-Sep,0.4359,0.4692,0.4838,226,0.4741,,
270,UMKC,20-Sep,0.4347,0.4782,0.472,222,0.4761,,
,,,,,,,,,
,,,,,,,,,
271,CS Fullerton,19-Oct,0.4334,0.4561,0.4764,253,0.4629,,
272,Florida Intl,21-Jul,0.4285,0.4854,0.4931,175,0.488,,
273,Long Island,19-Sep,0.427,0.4629,0.4609,254,0.4622,,
274,VMI,19-Aug,0.4262,0.469,0.4705,238,0.4695,,
275,Eastern Ky,17-Jul,0.4261,0.4709,0.471,235,0.4709,,
276,Southern Utah,17-Sep,0.4252,0.4394,0.476,282,0.4516,,
277,Grambling,18-Oct,0.4252,0.4427,0.4583,292,0.4479,,
278,Jackson St,18-Oct,0.4248,0.4421,0.4581,294,0.4474,,
279,Centenary,14-Oct,0.424,0.3997,0.4799,316,0.4264,,
280,Youngstown St,20-Jul,0.4237,0.4701,0.4952,210,0.4785,,
,,,,,,,,,
,,,,,,,,,
281,Mt St. Mary's,16-Nov,0.4219,0.4055,0.4692,315,0.4268,,
282,Norfolk St,14-15,0.4218,0.3767,0.451,324,0.4015,,
283,IPFW,20-Sep,0.4208,0.4429,0.487,262,0.4576,,
284,Robert Morris,17-Sep,0.4198,0.4385,0.456,301,0.4444,,
285,Radford,20-Oct,0.4195,0.4398,0.4651,290,0.4482,,
