2007-2008 RPI,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Records reflect games against Division I opponents only.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Click on team name for schedule and results. Clickable column headings will sort by that column.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Last updated Tue Mar 18 2008, 12:41 PM",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Shaded teams made the tournament,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,RPI Data,,,,,SOS,,Polls,,,
Rank,School,W-L,RPI,W,L,Pct,OWP,OOWP,Rank,Rating,AP,USA,,
189,Quinnipiac,15-15,0.4793,15.4,14.6,0.5133,0.4701 (228),0.4636,250,0.4679,,,,
190,Northwestern St,17-Dec,0.4789,11.2,14.6,0.4341,0.4986 (163),0.4844,171,0.4938,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
191,Vermont,16-15,0.4787,16,13,0.5517,0.4496 (280),0.464,283,0.4544,,,,
192,Iowa,13-19,0.4787,10.2,19,0.3493,0.5196 (112),0.5261,106,0.5218,,,,
193,Weber St,15-13,0.4785,12.2,10.2,0.5446,0.4475 (284),0.4743,276,0.4565,,,,
194,North Dakota St,14-13,0.4778,12,9.4,0.5607,0.4311 (309),0.4885,293,0.4502,,,,
195,Wofford,16-Dec,0.4774,11.6,14,0.4531,0.4840 (189),0.4884,190,0.4855,,,,
196,Coll of Charleston,16-17,0.4766,14,14.6,0.4895,0.4615 (250),0.4938,234,0.4722,,,,
197,SE Louisiana,13-13,0.4763,12.6,11.4,0.525,0.4500 (278),0.4804,272,0.4601,,,,
198,TCU,13-16,0.4758,8.6,12.8,0.4019,0.4934 (176),0.5146,156,0.5005,,,,
199,Wichita St,20-Nov,0.4757,8.6,18.8,0.3139,0.5329 (98),0.5231,92,0.5296,,,,
200,Gardner Webb,15-16,0.4744,13.8,13.2,0.5111,0.4585 (257),0.4694,268,0.4622,,,,
,,,,RPI Data,,,,,SOS,,Polls,,,
Rank,School,W-L,RPI,W,L,Pct,OWP,OOWP,Rank,Rating,AP,USA,,
201,Bowling Green,13-17,0.4741,11.4,15,0.4318,0.4808 (202),0.5031,180,0.4882,,,,
202,Long Island,15-15,0.4738,13.4,13,0.5076,0.4606 (252),0.4663,267,0.4625,,,,
