1995-1996 RPI,,,,,,,
,,,,,,,
All records reflect games between Division I teams only,,,,,,,
,,,,,,,
Click on team name for schedule and results.,,,,,,,
,,,,,,,
Shaded teams made the tournament.,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,SOS,,Polls,
Rank,School,W-L,RPI,Rank,Rating,AP,USA
227,Brown,16-Oct,0.4483,207,0.4695,,
228,Central Florida,18-Oct,0.4476,192,0.4777,,
229,Wagner,17-Oct,0.4468,201,0.4722,,
230,NE Illinois,13-Dec,0.4462,284,0.435,,
,,,,,,,
,,,,,,,
231,Richmond,20-Aug,0.446,140,0.4995,,
232,Sam Houston,14-Nov,0.4455,265,0.4474,,
233,Hampton,17-Jul,0.4455,145,0.4968,,
234,La Tech,17-Oct,0.4454,205,0.4703,,
235,Arkansas St,18-Aug,0.4446,159,0.4903,,
236,TX-Pan American,19-Aug,0.4422,156,0.4908,,
237,Florida Intl,15-Nov,0.4422,259,0.4485,,
238,Radford,13-Dec,0.4416,288,0.4288,,
239,William & Mary,16-Sep,0.4408,212,0.4677,,
240,Cornell,16-Sep,0.4399,216,0.4666,,
,,,,,,,
,,,,,,,
241,Idaho St,15-Sep,0.4367,238,0.4572,,
242,Loyola-Chicago,19-Jul,0.4365,153,0.4922,,
243,Holy Cross,16-13,0.4355,305,0.3967,,
244,Siena,22-May,0.4354,98,0.5188,,
245,TX-Arlington,15-Oct,0.4328,270,0.4437,,
246,Georgia St,15-Oct,0.4318,274,0.4424,,
247,Stetson,17-Aug,0.4314,210,0.4685,,
248,Navy,13-12,0.4311,302,0.4015,,
249,Centenary,16-Sep,0.4311,244,0.4548,,
250,SW Texas St,15-Sep,0.4301,261,0.4485,,
,,,,,,,
,,,,,,,
251,Fullerton St,20-Jun,0.4294,148,0.4956,,
252,Jacksonville St,17-Aug,0.4288,217,0.465,,
253,Cal Poly,13-Dec,0.4278,298,0.4104,,
254,Texas Southern,15-Aug,0.4271,250,0.4535,,
255,Furman,17-Jul,0.4269,203,0.472,,
256,Fairleigh Dickinson,20-Jul,0.4266,176,0.4824,,
257,SE Missouri St,19-Jul,0.426,188,0.4782,,
258,Appalachian St,20-Jun,0.4249,160,0.4897,,
259,George Mason,16-Oct,0.4249,281,0.4383,,
260,Long Island,19-Aug,0.4206,224,0.462,,
,,,,,,,
,,,,,,,
261,Central Mich,20-Apr,0.4201,133,0.5045,,
262,Fordham,23-Apr,0.4195,124,0.51,,
263,Florida Atl,18-Aug,0.4179,246,0.4546,,
264,Youngstown St,15-Oct,0.4178,293,0.4237,,
265,Hartford,22-Jun,0.4162,172,0.4835,,
266,Alcorn St,15-Aug,0.4162,280,0.439,,
267,North Carolina A&T,16-Aug,0.4159,271,0.4434,,
268,Grambling,16-Oct,0.4127,295,0.4221,,
269,Troy St,16-Sep,0.4126,287,0.4301,,
270,East Tenn St,20-May,0.4124,173,0.4832,,
,,,,,,,
,,,,,,,
271,Cleveland St,21-May,0.4115,170,0.4846,,
272,Air Force,22-Feb,0.4113,93,0.5206,,
273,CS-Northridge,18-Jun,0.4107,218,0.4642,,
274,The Citadel,16-Jul,0.4068,278,0.441,,
275,Nicholls St,21-May,0.4067,189,0.4781,,
276,Lafayette,18-Jul,0.4064,260,0.4485,,
277,New Hampshire,21-Jun,0.406,214,0.4672,,
278,Morgan St,20-Jul,0.4054,248,0.4542,,
279,Columbia,19-Jun,0.4036,233,0.4581,,
280,Sacramento St,20-May,0.4033,204,0.4711,,
,,,,,,,
,,,,,,,
281,Delaware St,17-Oct,0.4029,296,0.4137,,
282,Yale,18-Jul,0.4019,273,0.4426,,
283,St. Francis-NY,18-Sep,0.401,294,0.4235,,
284,Winthrop,19-Jun,0.4007,247,0.4543,,
285,Morehead St,20-Mar,0.4006,157,0.4907,,
286,Hofstra,18-Aug,0.4004,286,0.4313,,
287,Akron,23-Feb,0.3966,138,0.5021,,
288,MD-East Shore,16-Sep,0.3964,299,0.4085,,
289,Northeastern,24-Apr,0.396,182,0.4804,,
290,Howard,19-Jul,0.392,285,0.4329,,
,,,,,,,
,,,,,,,
291,Bethune-Cookman,15-Aug,0.3918,300,0.4064,,
292,MD-Baltimore Co,22-May,0.389,240,0.4569,,
293,Northern Ariz,20-Apr,0.3875,226,0.461,,
294,Wofford,22-Jan,0.3836,144,0.497,,
295,Alabama St,16-Aug,0.3812,304,0.3971,,
296,Robert Morris,23-Apr,0.3798,239,0.457,,
297,Northwestern St,20-May,0.3765,283,0.4353,,
298,Chicago St,25-Feb,0.3712,206,0.4703,,
299,Eastern Wash,23-Jan,0.3688,191,0.4778,,
300,Coastal Carolina,21-Mar,0.3687,254,0.45,,
,,,,,,,
,,,,,,,
301,Florida A&M,19-Apr,0.364,290,0.4273,,
302,Lehigh,23-Mar,0.3614,272,0.4434,,
303,Prairie View A&M,0-23,0.3446,230,0.4594,,
304,Army,20-Apr,0.3414,303,0.3996,,
305,Georgia So,23-Feb,0.3382,292,0.4243,,
"© 1994-2005 by Palm Sports Resources, Inc. All rights reserved.",,,,,,,
